Modelo do Avião,Cia Aérea,País,Pedidos Firmes,Entregas,Pedidos Firmes em Carteira
EMBRAER 170 (E170),Airnorth,Austrália,1,1,0
EMBRAER 170 (E170),Alitalia,Itália,6,6,0
EMBRAER 170 (E170),BA CityFlyer,Reino Unido,6,6,0
EMBRAER 170 (E170),Cirrus,Alemanha,1,1,0
EMBRAER 170 (E170),ECC Leasing,Irlanda,6,6,0
EMBRAER 170 (E170),EgyptAir,Egito,12,12,0
EMBRAER 170 (E170),Finnair,Finlândia,10,10,0
EMBRAER 170 (E170),GECAS,EUA,9,9,0
EMBRAER 170 (E170),JAL,Japão,18,18,0
EMBRAER 170 (E170),LOT Polish,Polônia,6,6,0
EMBRAER 170 (E170),NAC / Jetscape,EUA,1,1,0
EMBRAER 170 (E170),Petro Air,Líbia,2,2,0
EMBRAER 170 (E170),Regional,França,10,10,0
EMBRAER 170 (E170),Republic Airlines,EUA,48,48,0
EMBRAER 170 (E170),Satena,Colômbia,1,1,0
EMBRAER 170 (E170),Saudi Arabian Airlines,Arábia Saudita,15,15,0
EMBRAER 170 (E170),Sirte Oil,Líbia,1,1,0
EMBRAER 170 (E170),Suzuyo,Japão,2,2,0
EMBRAER 170 (E170),TAME,Equador,2,2,0
EMBRAER 170 (E170),US Airways,EUA,28,28,0
EMBRAER 170 (E170),Virgin Australia,Austrália,6,6,0
EMBRAER 175 (E175),Air Canada,Canadá,15,15,0
EMBRAER 175 (E175),Air Lease,EUA,8,8,0
EMBRAER 175 (E175),Air Peace,Nigéria,5,0,5
EMBRAER 175 (E175),Alitalia,Itália,2,2,0
EMBRAER 175 (E175),American Airlines,EUA,108,101,7
EMBRAER 175 (E175),Belavia,Bielorrússia,1,1,0
EMBRAER 175 (E175),CIT,EUA,4,4,0
EMBRAER 175 (E175),ECC Leasing,Irlanda,1,1,0
EMBRAER 175 (E175),Flybe,Reino Unido,11,11,0
EMBRAER 175 (E175),Fuji Dream,Japão,2,2,0
EMBRAER 175 (E175),GECAS,EUA,5,5,0
EMBRAER 175 (E175),Horizon Air,EUA,50,41,9
EMBRAER 175 (E175),KLM,Países Baixos,17,17,0
EMBRAER 175 (E175),LOT Polish,Polônia,12,12,0
EMBRAER 175 (E175),Mauritânia Airlines,Mauritânia,2,2,0
EMBRAER 175 (E175),Mesa,EUA,7,7,0
EMBRAER 175 (E175),NAC / Aldus,Irlanda,2,2,0
EMBRAER 175 (E175),NAC / Jetscape,EUA,4,4,0
EMBRAER 175 (E175),Northwest,EUA,36,36,0
EMBRAER 175 (E175),Oman Air,Omã,5,5,0
EMBRAER 175 (E175),Overland Airways,Nigéria,3,1,2
EMBRAER 175 (E175),Republic Airlines,EUA,187,136,51
EMBRAER 175 (E175),Royal Jordanian,Jordânia,2,2,0
EMBRAER 175 (E175),Skywest,EUA,228,205,23
EMBRAER 175 (E175),Suzuyo,Japão,11,11,0
EMBRAER 175 (E175),TRIP,Brasil,5,5,0
EMBRAER 175 (E175),Clientes não divulgados,Clientes não divulgados,4,0,4
EMBRAER 175 (E175),United Airlines,EUA,110,110,0
EMBRAER 190 (E190),Aero Republica,Colômbia,5,5,0
EMBRAER 190 (E190),Aeromexico,México,12,12,0
EMBRAER 190 (E190),Air Astana,Cazaquistão,2,2,0
EMBRAER 190 (E190),Air Canada,Canadá,45,45,0
EMBRAER 190 (E190),Air Caraibes,Guadalupe,1,1,0
EMBRAER 190 (E190),Air Lease,EUA,23,23,0
EMBRAER 190 (E190),Air Moldova,Moldávia,1,1,0
EMBRAER 190 (E190),Augsburg,Alemanha,2,2,0
EMBRAER 190 (E190),Austral,Argentina,22,22,0
EMBRAER 190 (E190),AZAL,Azerbaijão,4,4,0
EMBRAER 190 (E190),Azul,Brasil,5,5,0
EMBRAER 190 (E190),BA CityFlyer,Reino Unido,9,9,0
EMBRAER 190 (E190),BOC Aviation,Singapura,14,14,0
EMBRAER 190 (E190),China Southern,China,20,20,0
EMBRAER 190 (E190),CIAF,Egito,3,3,0
EMBRAER 190 (E190),CIT,EUA,7,7,0
EMBRAER 190 (E190),Conviasa,Venezuela,16,16,0
EMBRAER 190 (E190),Copa,Panamá,15,15,0
EMBRAER 190 (E190),Dniproavia,Ucrânia,5,5,0
EMBRAER 190 (E190),ECC Leasing,Irlanda,1,1,0
EMBRAER 190 (E190),Finnair,Finlândia,12,12,0
EMBRAER 190 (E190),GECAS,EUA,27,27,0
EMBRAER 190 (E190),Guizhou Colorful,China,9,9,0
EMBRAER 190 (E190),Hainan,China,50,50,0
EMBRAER 190 (E190),Hebei,China,6,6,0
EMBRAER 190 (E190),JAL,Japão,14,14,0
EMBRAER 190 (E190),JetBlue,EUA,64,64,0
EMBRAER 190 (E190),Kenya Airways,Quênia,10,10,0
EMBRAER 190 (E190),KLM,Países Baixos,26,26,0
EMBRAER 190 (E190),KunPeng,China,5,5,0
EMBRAER 190 (E190),LAM,Moçambique,2,2,0
EMBRAER 190 (E190),Lufthansa,Alemanha,9,9,0
EMBRAER 190 (E190),M1 Travel,Líbano,8,8,0
EMBRAER 190 (E190),NAC / Aldus,Irlanda,21,21,0
EMBRAER 190 (E190),NAC / Jetscape,EUA,9,9,0
EMBRAER 190 (E190),NAS Air,Arábia Saudita,3,3,0
EMBRAER 190 (E190),NIKI,Áustria,7,7,0
EMBRAER 190 (E190),Regional,França,10,10,0
EMBRAER 190 (E190),Republic,EUA,2,2,0
EMBRAER 190 (E190),Taca,El Salvador,11,11,0
EMBRAER 190 (E190),TAME,Equador,3,3,0
EMBRAER 190 (E190),TRIP,Brasil,3,3,0
EMBRAER 190 (E190),US Airways,EUA,25,25,0
EMBRAER 190 (E190),Virgin Australia,Austrália,18,18,0
EMBRAER 190 (E190),Virgin Nigeria,Nigéria,2,2,0
EMBRAER 195 (E195),Arkia,Israel,1,1,0
EMBRAER 195 (E195),Aurigny,Guernesei,1,1,0
EMBRAER 195 (E195),Azul,Brasil,59,59,0
EMBRAER 195 (E195),Belavia,Bielorrússia,4,4,0
EMBRAER 195 (E195),BOC Aviation,Singapura,1,1,0
EMBRAER 195 (E195),Flybe,Reino Unido,14,14,0
EMBRAER 195 (E195),GECAS,EUA,12,12,0
EMBRAER 195 (E195),Globalia,Espanha,12,12,0
EMBRAER 195 (E195),Hainan,China,20,20,0
EMBRAER 195 (E195),LOT Polish,Polônia,4,4,0
EMBRAER 195 (E195),Lufthansa,Alemanha,34,34,0
EMBRAER 195 (E195),Montenegro,Montenegro,1,1,0
EMBRAER 195 (E195),NAC / Aldus,Irlanda,4,4,0
EMBRAER 195 (E195),NAC / Jetscape,EUA,2,2,0
EMBRAER 195 (E195),Royal Jordanian,Jordânia,2,2,0
EMBRAER 195 (E195),TRIP,Brasil,1,1,0
EMBRAER 190-E2 (E190-E2),Aercap,Irlanda,5,5,0
EMBRAER 190-E2 (E190-E2),Air Kiribati,Quiribáti,2,1,1
EMBRAER 190-E2 (E190-E2),Aircastle,EUA,2,0,2
EMBRAER 190-E2 (E190-E2),Azorra,EUA,13,0,13
EMBRAER 190-E2 (E190-E2),Helvetic,Suíça,8,8,0
EMBRAER 190-E2 (E190-E2),Wideroe,Noruega,3,3,0
EMBRAER 190-E2 (E190-E2),Placar Linhas Aéreas,Brasil,1,1,0
EMBRAER 195-E2 (E195-E2),Aercap,Irlanda,45,17,28
EMBRAER 195-E2 (E195-E2),Air Peace,Nigéria,13,5,8
EMBRAER 195-E2 (E195-E2),Aircastle,EUA,23,14,9
EMBRAER 195-E2 (E195-E2),Azorra,EUA,22,0,22
EMBRAER 195-E2 (E195-E2),Azul,Brasil,51,0,51
EMBRAER 195-E2 (E195-E2),Binter Canarias,Espanha,16,5,11
EMBRAER 195-E2 (E195-E2),Helvetic,Suíça,4,4,0
EMBRAER 195-E2 (E195-E2),ICBC,China,10,7,3
EMBRAER 195-E2 (E195-E2),Luxair,Luxemburgo,4,0,4
EMBRAER 195-E2 (E195-E2),Salam Air,Omã,6,0,6
EMBRAER 195-E2 (E195-E2),Porter,Canadá,50,20,30
EMBRAER 195-E2 (E195-E2),Royal Jordanian,Jordânia,2,0,2